id,produto,id_categoria,preco
1,"Playstation 5",2,3999.99
2,"Base Líquida",1,49.90
3,"Batom Matte",1,29.90
4,"Blush Compacto",1,39.50
5,Rímel,1,24.90
6,"Sombra Duo",1,34.90
7,"Pó Facial",1,31.50
8,"Creme Hidratante",1,45.00
9,"Perfume Feminino",1,120.00
10,"Perfume Masculino",1,150.00
11,"Removedor de Maquiagem",1,28.00
12,"Smartphone X",2,2999.99
13,"Notebook Pro",2,4999.00
14,"Tablet 10"",2,1999.00
15,"Fone Bluetooth",2,299.90
16,Smartwatch,2,899.90
17,"Câmera Digital",2,1500.00
18,"Carregador Portátil",2,99.90
19,"HD Externo 1TB",2,450.00
20,"Monitor 24"",2,799.00
21,"Mouse Gamer",2,149.90
22,"Camiseta Masculina",3,59.90
23,"Camiseta Feminina",3,49.90
24,"Calça Jeans",3,129.90
25,Shorts,3,69.90
26,Jaqueta,3,199.90
27,"Vestido Casual",3,149.90
28,"Blusa de Frio",3,89.90
29,Saia,3,79.90
30,Regata,3,39.90
31,Moletom,3,119.90
32,"Tênis Esportivo",4,199.90
33,"Sandália Feminina",4,79.90
34,"Sapato Social Masculino",4,249.90
35,Chinelo,4,29.90
36,"Bota Masculina",4,299.90
37,"Bota Feminina",4,279.90
38,Sapatilha,4,89.90
39,Mocassim,4,179.90
40,"Tênis Casual",4,159.90
41,Tamanco,4,69.90
42,"Arroz 5kg",5,25.00
43,"Feijão 1kg",5,8.00
44,"Macarrão 500g",5,6.50
45,"Açúcar 1kg",5,5.00
46,"Farinha de Trigo 1kg",5,4.50
47,"Óleo de Soja 900ml",5,7.00
48,"Leite UHT 1L",5,4.20
49,"Café Torrado 500g",5,15.00
50,"Pão de Forma",5,6.00
